department_id,Qualification,Assistant_ID
D-01,BACHELOR OF SCIENCE-MEDICAL SCIENCE,SP-0054
D-02,BACHELOR OF SCIENCE-MEDICAL SCIENCE,SP-0055
D-03,BACHELOR OF SCIENCE-CHEMISTRY,SP-0056
D-04,BACHELOR OF SCIENCE-CHEMISTRY,SP-0057
D-05,BACHELOR OF SCIENCE-MEDICAL SCIENCE,SP-0058
D-01,BACHELOR OF SCIENCE-CHEMISTRY,SP-0059
D-02,BACHELOR OF SCIENCE-REDIOLOGY,SP-0060
D-03,BACHELOR OF SCIENCE-REDIOLOGY,SP-0061
D-04,BACHELOR OF SCIENCE-MEDICAL SCIENCE,SP-0062
D-05,BACHELOR OF SCIENCE-CHEMISTRY,SP-0063
D-01,BACHELOR OF SCIENCE-MEDICAL SCIENCE,SP-0064
