Medicine_Name,Potency,Type
Paracetamol,100,Tablet
Aspirin,50,Syrup
Omeprazole,5,Injection
Amoxicillin,2,Tablet
Atorvastatin,25,Syrup
Ibuprofen,100,Injection
Metoprolol succinate,50,Tablet
Salbutamol,5,Syrup
Amoxicillin with clavulanic acid,2,Injection
Cilazapril,25,Tablet
Simvastatin,100,Syrup
Cholecalciferol,50,Injection
Prednisone,5,Tablet
Metformin hydrochloride,2,Syrup
Influenza vaccine,25,Injection
Zopiclone,100,Tablet
Loratadine,50,Syrup
Diclofenac sodium,5,Injection
Codeine phosphate,2,Tablet
Felodipine,25,Syrup
